ID,Title,Year,POSTER_URL,Genres,SearchTitle
2,Jumanji,1995,https://image.tmdb.org/t/p/w500/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,"['Adventure', ""Children's"", 'Fantasy']",jumanji
1717,Scream 2,1997,https://image.tmdb.org/t/p/w500/dORlVasiaDkJXTqt9bdH7nFNs6C.jpg,"['Horror', 'Thriller']",scream 2
2329,American History X,1998,https://image.tmdb.org/t/p/w500/euypWkaYFOLW3e5rLIcTAjWnhhT.jpg,['Drama'],american history x
2527,Westworld,1973,https://image.tmdb.org/t/p/w500/qNt29HzxwZ4jGTgSRxdA34ino9Q.jpg,"['Action', 'Sci-Fi', 'Thriller', 'Western']",westworld
344,Ace Ventura: Pet Detective,1994,https://image.tmdb.org/t/p/w500/wnLBkPxGn2w8GwHw44MDDFX4R95.jpg,['Comedy'],ace ventura pet detective
2455,"Fly, The",1986,https://image.tmdb.org/t/p/w500/gORksEPahEgO409HYJOZlNVyEpe.jpg,"['Horror', 'Sci-Fi']",fly the
2640,Superman,1978,https://image.tmdb.org/t/p/w500/wPLysNDLffQLOVebZQCbXJEv6E6.jpg,"['Action', 'Adventure', 'Sci-Fi']",superman
1179,"Grifters, The",1990,https://image.tmdb.org/t/p/w500/zMpGfkiDIdg5bB7WGcAT3Fdrfpt.jpg,"['Crime', 'Drama', 'Film-Noir']",grifters the
3481,High Fidelity,2000,https://image.tmdb.org/t/p/w500/e2LZGB62GMhv3Fo8tDZjY87I81a.jpg,['Comedy'],high fidelity
1073,Willy Wonka and the Chocolate Factory,1971,https://image.tmdb.org/t/p/w500/vh5iYhj80l1inSdep61sF8g1S8m.jpg,"['Adventure', ""Children's"", 'Comedy', 'Fantasy']",willy wonka and the chocolate factory
1193,One Flew Over the Cuckoo's Nest,1975,https://image.tmdb.org/t/p/w500/kjWsMh72V6d8KRLV4EOoSJLT1H7.jpg,['Drama'],one flew over the cuckoos nest
1385,Under Siege,1992,https://image.tmdb.org/t/p/w500/8FDwOGJT7OSE3Rho4qDoifMpOTW.jpg,['Action'],under siege
362,"Jungle Book, The",1994,https://image.tmdb.org/t/p/w500/a0vfM3bHpftyVvgp452FT1U58N8.jpg,"['Adventure', ""Children's"", 'Romance']",jungle book the
2762,"Sixth Sense, The",1999,https://image.tmdb.org/t/p/w500/vOyfUXNFSnaTk7Vk5AjpsKTUWsu.jpg,['Thriller'],sixth sense the
1262,"Great Escape, The",1963,https://image.tmdb.org/t/p/w500/gBH4H8UMFxl139HaLz6lRuvsel8.jpg,"['Adventure', 'War']",great escape the
982,Picnic,1955,https://image.tmdb.org/t/p/w500/qTYvLoQnIA6BfSeDG93fZwcWQ2g.jpg,['Drama'],picnic
1288,This Is Spinal Tap,1984,https://image.tmdb.org/t/p/w500/z2LA8eBTSuuPC4NBhIZRNIwpimH.jpg,"['Comedy', 'Drama', 'Musical']",this is spinal tap
2100,Splash,1984,https://image.tmdb.org/t/p/w500/7FutTsMWBwVhjk1Ujf1wtndUVZh.jpg,"['Comedy', 'Fantasy', 'Romance']",splash
2265,Nothing But Trouble,1991,https://image.tmdb.org/t/p/w500/b7FDnVIpUs5IUYx1WvaUfK1ohDQ.jpg,"['Adventure', 'Comedy']",nothing but trouble
1964,Klute,1971,https://image.tmdb.org/t/p/w500/tVyINAsNGSgD1OIstqwCcs7wyGH.jpg,"['Drama', 'Mystery']",klute
1320,Alien³,1992,https://image.tmdb.org/t/p/w500/rJOj0T5DyChfECevDg0xpEGznsl.jpg,"['Action', 'Horror', 'Sci-Fi', 'Thriller']",alien
1175,Delicatessen,1991,https://image.tmdb.org/t/p/w500/gNtOgQHxE5B8e08zuNRAdDpmK5Z.jpg,"['Comedy', 'Sci-Fi']",delicatessen
2002,Lethal Weapon 3,1992,https://image.tmdb.org/t/p/w500/smzJxEnusgqv3bvHIWwf4cuwPcr.jpg,"['Action', 'Comedy', 'Crime', 'Drama']",lethal weapon 3
3524,Arthur,1981,https://image.tmdb.org/t/p/w500/m8yOFRDVZPxtsr4D2hVdzls6q6t.jpg,"['Comedy', 'Romance']",arthur
232,Eat Drink Man Woman,1994,https://image.tmdb.org/t/p/w500/olhIWtIBFg6VWK59DEd4lAvgVgz.jpg,"['Comedy', 'Drama']",eat drink man woman
1580,Men in Black,1997,https://image.tmdb.org/t/p/w500/uLOmOF5IzWoyrgIF5MfUnh5pa1X.jpg,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",men in black
25,Leaving Las Vegas,1995,https://image.tmdb.org/t/p/w500/wTrFpGe3U65kXTldIUxuM2hmOAK.jpg,"['Drama', 'Romance']",leaving las vegas
3252,Scent of a Woman,1992,https://image.tmdb.org/t/p/w500/4adI7IaveWb7EidYXfLb3MK3CgO.jpg,['Drama'],scent of a woman
2391,"Simple Plan, A",1998,https://image.tmdb.org/t/p/w500/iJYGDwZmVEYRkSPbWQdxzvBLTcK.jpg,"['Crime', 'Thriller']",simple plan a
1203,12 Angry Men,1957,https://image.tmdb.org/t/p/w500/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg,['Drama'],12 angry men
2396,Shakespeare in Love,1998,https://image.tmdb.org/t/p/w500/zdW7jdzPi4J9KZR3TyY2jn3Xh5e.jpg,"['Comedy', 'Romance']",shakespeare in love
832,Ransom,1996,https://image.tmdb.org/t/p/w500/v05Zi28HlV0ZJ3JlLbKQbISOD0r.jpg,"['Drama', 'Thriller']",ransom
2145,Pretty in Pink,1986,https://image.tmdb.org/t/p/w500/jeFJyzJBufJexpOuywuPp8q2tCJ.jpg,"['Comedy', 'Drama', 'Romance']",pretty in pink
2115,Indiana Jones and the Temple of Doom,1984,https://image.tmdb.org/t/p/w500/om61eim8XwLfh6QXzh2r0Q4blBz.jpg,"['Action', 'Adventure']",indiana jones and the temple of doom
2003,Gremlins,1984,https://image.tmdb.org/t/p/w500/6m0F7fsXjQvUbCZrPWcJNrjvIui.jpg,"['Comedy', 'Horror']",gremlins
3421,Animal House,1978,https://image.tmdb.org/t/p/w500/fWooBbipMRIKeSRhEzmeaDV0T8H.jpg,['Comedy'],animal house
3396,"Muppet Movie, The",1979,https://image.tmdb.org/t/p/w500/8LUjnIW5ph6pHoXDE3Zg4iVi6BV.jpg,"[""Children's"", 'Comedy']",muppet movie the
1240,"Terminator, The",1984,https://image.tmdb.org/t/p/w500/hzXSE66v6KthZ8nPoLZmsi2G05j.jpg,"['Action', 'Sci-Fi', 'Thriller']",terminator the
587,Ghost,1990,https://image.tmdb.org/t/p/w500/w9RaPHov8oM5cnzeE27isnFMsvS.jpg,"['Comedy', 'Romance', 'Thriller']",ghost
608,Fargo,1996,https://image.tmdb.org/t/p/w500/rUjUCT6GvFS475sKJVfHWZUdnv5.jpg,"['Crime', 'Drama', 'Thriller']",fargo
2779,Heaven Can Wait,1978,https://image.tmdb.org/t/p/w500/c0jKfLvvggNqvMDhOWxaBMGXkz7.jpg,['Comedy'],heaven can wait
2053,"Honey, I Blew Up the Kid",1992,https://image.tmdb.org/t/p/w500/4EGqDo2pP2ZL0TCcYDGnwsU8liQ.jpg,"[""Children's"", 'Comedy', 'Sci-Fi']",honey i blew up the kid
3471,Close Encounters of the Third Kind,1977,https://image.tmdb.org/t/p/w500/yaPx3cK9zGFX3SbcKwxWM1QIbUh.jpg,"['Drama', 'Sci-Fi']",close encounters of the third kind
1231,"Right Stuff, The",1983,https://image.tmdb.org/t/p/w500/btqTjNRxecYgQ1FGfVlLqSSNjz.jpg,['Drama'],right stuff the
2716,Ghostbusters,1984,https://image.tmdb.org/t/p/w500/7E8nLijS9AwwUEPu2oFYOVKhdFA.jpg,"['Comedy', 'Horror']",ghostbusters
1537,Shall We Dance? (Shall We Dansu?),1996,https://image.tmdb.org/t/p/w500/aGIyiQv08Gw1HO5BV1yrwCWtGHC.jpg,['Comedy'],shall we dance shall we dansu
1732,"Big Lebowski, The",1998,https://image.tmdb.org/t/p/w500/9mprbw31MGdd66LR0AQKoDMoFRv.jpg,"['Comedy', 'Crime', 'Mystery', 'Thriller']",big lebowski the
2629,"Love Letter, The",1999,https://image.tmdb.org/t/p/w500/aJ1GqLcd0nyuTSbMgKXbdK4JYev.jpg,"['Comedy', 'Romance']",love letter the
2407,Cocoon,1985,https://image.tmdb.org/t/p/w500/wqNNm36j3nkucAucHEGAW5pNZcd.jpg,"['Comedy', 'Sci-Fi']",cocoon
3811,Breaker Morant,1980,https://image.tmdb.org/t/p/w500/Nr46BDNjBtz3s0wRvm84eK3PXl.jpg,"['Drama', 'War']",breaker morant
2717,Ghostbusters II,1989,https://image.tmdb.org/t/p/w500/yObYPMA58DnTMvJooFW7GG6jWAt.jpg,"['Comedy', 'Horror']",ghostbusters ii
22,Copycat,1995,https://image.tmdb.org/t/p/w500/oMgwJb016znNZcpDR20eXxZoW8A.jpg,"['Crime', 'Drama', 'Thriller']",copycat
2872,Excalibur,1981,https://image.tmdb.org/t/p/w500/cTWF6zkr5mUOnheowKODIijWYcN.jpg,"['Action', 'Drama', 'Fantasy', 'Romance']",excalibur
2677,Buena Vista Social Club,1999,https://image.tmdb.org/t/p/w500/b203Z3qwCRMLOY00XZh4qNQCwM4.jpg,['Documentary'],buena vista social club
1276,Cool Hand Luke,1967,https://image.tmdb.org/t/p/w500/4ykzTiHKLamh3eZJ8orVICtU2Jp.jpg,"['Comedy', 'Drama']",cool hand luke
81,Things to Do in Denver when You're Dead,1995,https://image.tmdb.org/t/p/w500/3LxYzYybOVpnw0juCSlNL5cj8NK.jpg,"['Crime', 'Drama', 'Romance']",things to do in denver when youre dead
1036,Die Hard,1988,https://image.tmdb.org/t/p/w500/1NnCbaFaWgHczKjH5Eii46VmpPp.jpg,"['Action', 'Thriller']",die hard
3868,"Naked Gun: From the Files of Police Squad!, The",1988,https://image.tmdb.org/t/p/w500/zT0mhZqZQJE1gSY5Eg9qcGP4NYo.jpg,['Comedy'],naked gun from the files of police squad the
1997,"Exorcist, The",1973,https://image.tmdb.org/t/p/w500/d07xtqwq1uriQ1hda6qeu8Skt5m.jpg,['Horror'],exorcist the
1275,Highlander,1986,https://image.tmdb.org/t/p/w500/8Z8dptJEypuLoOQro1WugD855YE.jpg,"['Action', 'Adventure']",highlander
1292,Being There,1979,https://image.tmdb.org/t/p/w500/uoSMXpNuEDsUzTOxqIEERBja92d.jpg,['Comedy'],being there
2243,Broadcast News,1987,https://image.tmdb.org/t/p/w500/kQNR1Lc0qAF5xuBySpDn481KVjb.jpg,"['Comedy', 'Drama', 'Romance']",broadcast news
2857,Yellow Submarine,1968,https://image.tmdb.org/t/p/w500/cjrGM2QYlwzV6vXz2yF7y6fdTRu.jpg,"['Animation', 'Musical']",yellow submarine
275,Mixed Nuts,1994,https://image.tmdb.org/t/p/w500/rI5oZR0ov3ki72Gy1QDM8XJ43mo.jpg,['Comedy'],mixed nuts
628,Primal Fear,1996,https://image.tmdb.org/t/p/w500/qJf2TzE8nRTFbFMPJNW6c8mI0KU.jpg,"['Drama', 'Thriller']",primal fear
2989,For Your Eyes Only,1981,https://image.tmdb.org/t/p/w500/xV4Nnr6DjjERlqNikqDQX8LUgua.jpg,['Action'],for your eyes only
1263,"Deer Hunter, The",1978,https://image.tmdb.org/t/p/w500/bbGtogDZOg09bm42KIpCXUXICkh.jpg,"['Drama', 'War']",deer hunter the
3004,"Bachelor, The",1999,https://image.tmdb.org/t/p/w500/59fK0TpSOsruL0jfCTPfIrHqYx0.jpg,"['Comedy', 'Romance']",bachelor the
2565,"King and I, The",1956,https://image.tmdb.org/t/p/w500/kbEA2LEFh1MX9EraNQSiq9ajs24.jpg,['Musical'],king and i the
939,"Reluctant Debutante, The",1958,https://image.tmdb.org/t/p/w500/prqscm98H6Ybt5AD8JvIhOgqXFO.jpg,"['Comedy', 'Drama']",reluctant debutante the
512,Robert A. Heinlein's The Puppet Masters,1994,https://image.tmdb.org/t/p/w500/mzq5uA0P5nfTH8Fl7OESeuDop8P.jpg,"['Horror', 'Sci-Fi']",robert a heinleins the puppet masters
43,Restoration,1995,https://image.tmdb.org/t/p/w500/z1YM3WFZnF2NwHT5IRGYUcvZBSl.jpg,['Drama'],restoration
3799,Pokémon the Movie 2000,2000,https://image.tmdb.org/t/p/w500/se72V9kyqmJYF1HLu5F7TEUU41g.jpg,"['Animation', ""Children's""]",pokmon the movie 2000
824,Kaspar Hauser,1993,https://image.tmdb.org/t/p/w500/186Rl8qNhOHXWN6cMYs1sHFDUwi.jpg,['Drama'],kaspar hauser
293,"Professional, The (a.k.a. Leon: The Professional)",1994,https://image.tmdb.org/t/p/w500/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg,"['Crime', 'Drama', 'Romance', 'Thriller']",professional the aka leon the professional
1920,Small Soldiers,1998,https://image.tmdb.org/t/p/w500/2nuUjSzHsoYlRvTPmLo7m7gCQry.jpg,"['Animation', ""Children's"", 'Fantasy', 'War']",small soldiers
3784,"Kid, The",2000,https://image.tmdb.org/t/p/w500/zWp8QZ1KxNrirNK9MF1EAIHjqVw.jpg,['Comedy'],kid the
1037,"Lawnmower Man, The",1992,https://image.tmdb.org/t/p/w500/IEjYUaviFctoYtaVMn91K8r727.jpg,"['Action', 'Sci-Fi', 'Thriller']",lawnmower man the
1753,Half Baked,1998,https://image.tmdb.org/t/p/w500/14TmEac4bquNaEld9t0uIliYoKE.jpg,['Comedy'],half baked
2968,Time Bandits,1981,https://image.tmdb.org/t/p/w500/4VZtpwdhHQSa4LUkvujyGAHb1hG.jpg,"['Adventure', 'Fantasy', 'Sci-Fi']",time bandits
3273,Scream 3,2000,https://image.tmdb.org/t/p/w500/qpH8ToZVlFD1bakL04LkEKodyDI.jpg,"['Horror', 'Mystery', 'Thriller']",scream 3
3398,"Muppets Take Manhattan, The",1984,https://image.tmdb.org/t/p/w500/lxOQEr3wOrDEy0VINfSoEZlIYEO.jpg,"[""Children's"", 'Comedy']",muppets take manhattan the
480,Jurassic Park,1993,https://image.tmdb.org/t/p/w500/fjTU1Bgh3KJu4aatZil3sofR2zC.jpg,"['Action', 'Adventure', 'Sci-Fi']",jurassic park
2001,Lethal Weapon 2,1989,https://image.tmdb.org/t/p/w500/z35OkbOTfnalyx8LK5EPUrnKQhR.jpg,"['Action', 'Comedy', 'Crime', 'Drama']",lethal weapon 2
1856,Kurt & Courtney,1998,https://image.tmdb.org/t/p/w500/367x8xNtI1FJUn6FeCSYTXyaa6R.jpg,"['Documentary', 'Musical']",kurt courtney
2336,Elizabeth,1998,https://image.tmdb.org/t/p/w500/yNDGST8cKQTRfqF8zgtSMeOUfkO.jpg,['Drama'],elizabeth
785,Kingpin,1996,https://image.tmdb.org/t/p/w500/axNjHHylLwT5oOahajqHtIEYZ10.jpg,['Comedy'],kingpin
2860,Blue Streak,1999,https://image.tmdb.org/t/p/w500/jek2osBtFhzU6Hjj7yp1egOtbqO.jpg,['Comedy'],blue streak
3752,"Me, Myself and Irene",2000,https://image.tmdb.org/t/p/w500/rvRrcbLbpn7UJGRH1JupgHOeJFq.jpg,['Comedy'],me myself and irene
2011,Back to the Future Part II,1989,https://image.tmdb.org/t/p/w500/YBawEsTkUZBDajKbd5LiHkmMGf.jpg,"['Comedy', 'Sci-Fi']",back to the future part ii
2416,Back to School,1986,https://image.tmdb.org/t/p/w500/bIQH3dptGaMBtwos7j9lEHt65BV.jpg,['Comedy'],back to school
2959,Fight Club,1999,https://image.tmdb.org/t/p/w500/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,['Drama'],fight club
85,Angels and Insects,1995,https://image.tmdb.org/t/p/w500/w1i5JdddoLuzSmnKo5ORDoKdMm2.jpg,"['Drama', 'Romance']",angels and insects
1180,Hear My Song,1991,https://image.tmdb.org/t/p/w500/esoksvZTmL31eJw4NLfSyJV2To5.jpg,['Comedy'],hear my song
3683,Blood Simple,1984,https://image.tmdb.org/t/p/w500/svU6pu4lfHn0T5BVZchVxL58HB5.jpg,"['Drama', 'Film-Noir']",blood simple
457,"Fugitive, The",1993,https://image.tmdb.org/t/p/w500/wrBPkgK0OHB0nTTFaVMERvdUhAY.jpg,"['Action', 'Thriller']",fugitive the
592,Batman,1989,https://image.tmdb.org/t/p/w500/cij4dd21v2Rk2YtUQbV5kW69WB2.jpg,"['Action', 'Adventure', 'Crime', 'Drama']",batman
494,Executive Decision,1996,https://image.tmdb.org/t/p/w500/hLjXkFr9fHlWzRVwu1T31QSVHRq.jpg,"['Action', 'Thriller']",executive decision
318,"Shawshank Redemption, The",1994,https://image.tmdb.org/t/p/w500/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,['Drama'],shawshank redemption the
1591,Spawn,1997,https://image.tmdb.org/t/p/w500/3svvunKXkhRvEKByGDua1Qu0otq.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",spawn
3350,"Raisin in the Sun, A",1961,https://image.tmdb.org/t/p/w500/fxGAJFfryAgdi4ONkVyrBWKDBbI.jpg,['Drama'],raisin in the sun a
1294,M*A*S*H,1970,https://image.tmdb.org/t/p/w500/xZHNAcCVd5gUy68MBc4CmDqmely.jpg,"['Comedy', 'War']",mash
265,Like Water for Chocolate (Como agua para chocolate),1992,https://image.tmdb.org/t/p/w500/rXAWEI0BVblEK3hCZvTWEif0v0G.jpg,"['Drama', 'Romance']",like water for chocolate como agua para chocolate
1663,Stripes,1981,https://image.tmdb.org/t/p/w500/vP8tPOgmJSNOh4bpOv1bFjid3rZ.jpg,['Comedy'],stripes
3843,Sleepaway Camp,1983,https://image.tmdb.org/t/p/w500/qladM9OMuGWfj2hdoj8NBpScLg9.jpg,['Horror'],sleepaway camp
3175,Galaxy Quest,1999,https://image.tmdb.org/t/p/w500/fZXSwgZknp81vmciTb86rw0MejV.jpg,"['Adventure', 'Comedy', 'Sci-Fi']",galaxy quest
1597,Conspiracy Theory,1997,https://image.tmdb.org/t/p/w500/wj0n6gci4EMWRhV9ozCKTgESGdB.jpg,"['Action', 'Mystery', 'Romance', 'Thriller']",conspiracy theory
1373,Star Trek V: The Final Frontier,1989,https://image.tmdb.org/t/p/w500/uiXr41VLYsuug3CZbFrKLSNahuZ.jpg,"['Action', 'Adventure', 'Sci-Fi']",star trek v the final frontier
111,Taxi Driver,1976,https://image.tmdb.org/t/p/w500/ekstpH614fwDX8DUln1a2Opz0N8.jpg,"['Drama', 'Thriller']",taxi driver
2840,Stigmata,1999,https://image.tmdb.org/t/p/w500/sKS1Vuqj7OQpOumfs6ArC0TICTN.jpg,['Thriller'],stigmata
2273,Rush Hour,1998,https://image.tmdb.org/t/p/w500/we7wOLVFgxhzLzUt0qNe50xdIQZ.jpg,"['Action', 'Thriller']",rush hour
1438,Dante's Peak,1997,https://image.tmdb.org/t/p/w500/8PRVIfZzDgw8EV3sDWJ6NA1ZMAn.jpg,"['Action', 'Thriller']",dantes peak
3360,Hoosiers,1986,https://image.tmdb.org/t/p/w500/dHpjZQXEdoi1xNLubM1rPmTHJYz.jpg,['Drama'],hoosiers
3438,Teenage Mutant Ninja Turtles,1990,https://image.tmdb.org/t/p/w500/azL2ThbJMIkts3ZMt3j1YgBUeDB.jpg,"['Action', ""Children's"", 'Fantasy']",teenage mutant ninja turtles
3095,"Grapes of Wrath, The",1940,https://image.tmdb.org/t/p/w500/eUcxMVBIA0Jg8l1RGUqycrc3eIQ.jpg,['Drama'],grapes of wrath the
1408,"Last of the Mohicans, The",1992,https://image.tmdb.org/t/p/w500/qzJMPWRtZveBkxXOv3ucWhoJuyj.jpg,"['Action', 'Romance', 'War']",last of the mohicans the
3611,Saludos Amigos,1943,https://image.tmdb.org/t/p/w500/kdZyHjsSHYBO53o59ZMz4fOXcmk.jpg,"['Animation', ""Children's"", 'Comedy']",saludos amigos
611,Hellraiser: Bloodline,1996,https://image.tmdb.org/t/p/w500/tCQsVackQil2fl5TzOYrCAI6All.jpg,"['Action', 'Horror', 'Sci-Fi']",hellraiser bloodline
2918,Ferris Bueller's Day Off,1986,https://image.tmdb.org/t/p/w500/9LTQNCvoLsKXP0LtaKAaYVtRaQL.jpg,['Comedy'],ferris buellers day off
436,Color of Night,1994,https://image.tmdb.org/t/p/w500/w1OBPkf3BxeC7543YzFwiKIwBFJ.jpg,"['Drama', 'Thriller']",color of night
3702,Mad Max,1979,https://image.tmdb.org/t/p/w500/5LrI4GiCSrChgkdskVZiwv643Kg.jpg,"['Action', 'Sci-Fi']",mad max
170,Hackers,1995,https://image.tmdb.org/t/p/w500/qfx2EENW1sOpKNVKLzr7VOhlxkt.jpg,"['Action', 'Crime', 'Thriller']",hackers
1285,Heathers,1989,https://image.tmdb.org/t/p/w500/dGbVfM4WlM7uvIbyRehfPZUIgp2.jpg,['Comedy'],heathers
2294,Antz,1998,https://image.tmdb.org/t/p/w500/pvpJfkzcqENTSlBKCSImi05WlXK.jpg,"['Animation', ""Children's""]",antz
3328,Ghost Dog: The Way of the Samurai,1999,https://image.tmdb.org/t/p/w500/gkH4zOxIfbb4BEbk9Q4cVOEpDaY.jpg,"['Crime', 'Drama']",ghost dog the way of the samurai
2108,L.A. Story,1991,https://image.tmdb.org/t/p/w500/dVDCImNu9lM3MTYRaS0sWhDrm2m.jpg,"['Comedy', 'Romance']",la story
1887,Almost Heroes,1998,https://image.tmdb.org/t/p/w500/qO1cfr4UxcwQ858Nxp470QNS3v8.jpg,"['Adventure', 'Comedy']",almost heroes
2463,Ruthless People,1986,https://image.tmdb.org/t/p/w500/fA3f8bsXoVbIALq4EdiAwptF1ws.jpg,['Comedy'],ruthless people
2054,"Honey, I Shrunk the Kids",1989,https://image.tmdb.org/t/p/w500/omQOzahi2NIeiYznNxHFDvNbvo6.jpg,"['Adventure', ""Children's"", 'Comedy', 'Fantasy', 'Sci-Fi']",honey i shrunk the kids
333,Tommy Boy,1995,https://image.tmdb.org/t/p/w500/dTf5qp5Pe3W8VBwWchQR7CKA0X7.jpg,['Comedy'],tommy boy
2706,American Pie,1999,https://image.tmdb.org/t/p/w500/5P68by2Thn8wHAziyWGEw2O7hco.jpg,['Comedy'],american pie
562,Welcome to the Dollhouse,1995,https://image.tmdb.org/t/p/w500/fsMMOVto87pvUQyozOF9CaT9aMR.jpg,"['Comedy', 'Drama']",welcome to the dollhouse
1080,Monty Python's Life of Brian,1979,https://image.tmdb.org/t/p/w500/lSSA64WF0M0BXnjwr2quMh6shCl.jpg,['Comedy'],monty pythons life of brian
1061,Sleepers,1996,https://image.tmdb.org/t/p/w500/yUpiEk2EojS9ZEXb3nIQonQCYYF.jpg,"['Crime', 'Drama']",sleepers
107,Muppet Treasure Island,1996,https://image.tmdb.org/t/p/w500/8UL6EcZGO1ssD60azzOtUPjnOZI.jpg,"['Adventure', ""Children's"", 'Comedy', 'Musical']",muppet treasure island
2571,"Matrix, The",1999,https://image.tmdb.org/t/p/w500/dXNAPwY7VrqMAo51EKhhCJfaGb5.jpg,"['Action', 'Sci-Fi', 'Thriller']",matrix the
1252,Chinatown,1974,https://image.tmdb.org/t/p/w500/kZRSP3FmOcq0xnBulqpUQngJUXY.jpg,"['Film-Noir', 'Mystery', 'Thriller']",chinatown
3617,Road Trip,2000,https://image.tmdb.org/t/p/w500/hi6Adn2X4379LlCvQTAN5BUDbYP.jpg,['Comedy'],road trip
3543,Diner,1982,https://image.tmdb.org/t/p/w500/2vKIdZ6JkFIzcQeaHg3xtdvOyRO.jpg,"['Comedy', 'Drama']",diner
3160,Magnolia,1999,https://image.tmdb.org/t/p/w500/tpfC325Jk6S38VTe5dDWjWtoyxr.jpg,['Drama'],magnolia
1614,In & Out,1997,https://image.tmdb.org/t/p/w500/jUTQp6cPgfOX4St2WfaeUvxZCts.jpg,['Comedy'],in out
1,Toy Story,1995,https://image.tmdb.org/t/p/w500/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,"['Animation', ""Children's"", 'Comedy']",toy story
2198,Modulations,1998,https://image.tmdb.org/t/p/w500/9qsMSdQdJFnuJG06gPWxfpgQwlq.jpg,['Documentary'],modulations
2408,Cocoon: The Return,1988,https://image.tmdb.org/t/p/w500/xBsXdBl8qCXoQsWX6vfsVjWOMGk.jpg,"['Comedy', 'Sci-Fi']",cocoon the return
3044,Dead Again,1991,https://image.tmdb.org/t/p/w500/irEnDVtxox6gnRJuwtEZuxvl2vZ.jpg,"['Mystery', 'Romance', 'Thriller']",dead again
2643,Superman IV: The Quest for Peace,1987,https://image.tmdb.org/t/p/w500/aQ1d9OB0xtAenIL0Ke3xV17St4S.jpg,"['Action', 'Adventure', 'Sci-Fi']",superman iv the quest for peace
